,bq.record.name,bq.name,isArray,bq.array,tidy.name,type,
176,(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  36  GROUP BY value),(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  36  GROUP BY value),FALSE,NA,Custom Dimension 36,Custom Dimension 36,STRING
177,(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  37  GROUP BY value),(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  37  GROUP BY value),FALSE,NA,Custom Dimension 37,Custom Dimension 37,STRING
178,(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  38  GROUP BY value),(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  38  GROUP BY value),FALSE,NA,Custom Dimension 38,Custom Dimension 38,STRING
179,(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  39  GROUP BY value),(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  39  GROUP BY value),FALSE,NA,Custom Dimension 39,Custom Dimension 39,STRING
180,(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  40  GROUP BY value),(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  40  GROUP BY value),FALSE,NA,Custom Dimension 40,Custom Dimension 40,STRING
181,(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  41  GROUP BY value),(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  41  GROUP BY value),FALSE,NA,Custom Dimension 41,Custom Dimension 41,STRING
182,(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  42  GROUP BY value),(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  42  GROUP BY value),FALSE,NA,Custom Dimension 42,Custom Dimension 42,STRING
183,(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  43  GROUP BY value),(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  43  GROUP BY value),FALSE,NA,Custom Dimension 43,Custom Dimension 43,STRING
184,(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  44  GROUP BY value),(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  44  GROUP BY value),FALSE,NA,Custom Dimension 44,Custom Dimension 44,STRING
185,(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  45  GROUP BY value),(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  45  GROUP BY value),FALSE,NA,Custom Dimension 45,Custom Dimension 45,STRING
186,(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  46  GROUP BY value),(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  46  GROUP BY value),FALSE,NA,Custom Dimension 46,Custom Dimension 46,STRING
187,(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  47  GROUP BY value),(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  47  GROUP BY value),FALSE,NA,Custom Dimension 47,Custom Dimension 47,STRING
188,(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  48  GROUP BY value),(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  48  GROUP BY value),FALSE,NA,Custom Dimension 48,Custom Dimension 48,STRING
189,(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  49  GROUP BY value),(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  49  GROUP BY value),FALSE,NA,Custom Dimension 49,Custom Dimension 49,STRING
190,(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  50  GROUP BY value),(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  50  GROUP BY value),FALSE,NA,Custom Dimension 50,Custom Dimension 50,STRING
191,(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  51  GROUP BY value),(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  51  GROUP BY value),FALSE,NA,Custom Dimension 51,Custom Dimension 51,STRING
192,(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  52  GROUP BY value),(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  52  GROUP BY value),FALSE,NA,Custom Dimension 52,Custom Dimension 52,STRING
193,(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  53  GROUP BY value),(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  53  GROUP BY value),FALSE,NA,Custom Dimension 53,Custom Dimension 53,STRING
194,(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  54  GROUP BY value),(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  54  GROUP BY value),FALSE,NA,Custom Dimension 54,Custom Dimension 54,STRING
195,(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  55  GROUP BY value),(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  55  GROUP BY value),FALSE,NA,Custom Dimension 55,Custom Dimension 55,STRING
196,(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  56  GROUP BY value),(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  56  GROUP BY value),FALSE,NA,Custom Dimension 56,Custom Dimension 56,STRING
197,(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  57  GROUP BY value),(SELECT value FROM UNNEST(table.customDimensions) WHERE index =  57  GROUP BY value),FALSE,NA,Custom Dimension 57,Custom Dimension 57,STRING
